OB05G30230.1	OB05G33200.1	301
OB01G16590.1	OB06G13470.1	170
OB05G25610.1	OB06G10880.1	87.4
OB03G37840.1	OB03G37900.1	1222
OB02G18110.1	OB06G26270.1	507
OB08G18220.1	OB11G21850.1	216
OB11G27750.1	OB11G27760.1	71.6
OB01G24440.1	OB01G40900.1	227
OB05G30810.1	OB07G18950.1	446
OB06G17370.1	OB08G21990.1	394
OB03G44760.1	OB03G44730.1	370
OB06G35950.1	OB07G14250.1	805
OB05G31010.1	OB01G38960.1	496
OB03G45850.1	OB04G21120.1	273
OB02G30440.1	OB08G11850.1	612
OB03G40580.1	OB12G18310.1	489
OB01G38970.1	OB05G31010.1	558
OB03G34840.1	OB12G20390.1	375
OB03G22030.1	OB01G24430.1	489
OB09G17060.1	OB09G11730.1	367
OB01G10400.1	OB01G10390.1	475
OB07G23390.1	OB07G28630.1	647
OB05G28780.1	OB06G16380.1	338
OB02G31280.1	OB12G13240.1	511
OB01G16550.1	OB05G16140.1	346
OB06G27420.1	OB03G35790.1	492
OB07G22850.1	OB07G22860.1	436
OB03G11660.1	OB10G24090.1	270
OB05G27250.1	OB05G34920.1	514
OB06G30700.1	OB06G30720.1	467
OB05G10820.1	OB01G54790.1	613
OB01G33860.1	OB07G28670.1	395
OB08G15870.1	OB05G18040.1	1501
OB01G32970.1	OB01G34840.1	860
OB02G13280.1	OB04G35190.1	450
OB05G26900.1	OB03G45980.1	382
OB07G20540.1	OB09G15220.1	342
OB02G15890.1	OB06G23890.1	513
OB11G11920.1	OB12G14200.1	592
OB05G18050.1	OB08G15870.1	1239
OB05G25270.1	OB01G47650.1	726
OB03G44820.1	OB07G14650.1	773
OB06G27230.1	OB06G27310.1	1290
OB01G48190.1	OB05G25020.1	567
OB01G29560.1	OB12G14270.1	88.2
OB01G43650.1	OB02G36170.1	242
OB03G44720.1	OB07G14610.1	96.3
OB03G42680.1	OB07G11610.1	770
OB01G18060.1	OB07G18620.1	259
OB04G30000.1	OB07G10310.1	971
