OB01G10070.1 Os01t0101150-00 2
OB01G10230.1 Os01t0103000-01 2
OB01G10350.1 Os01t0105800-01 2
OB01G10400.1 Os01t0106400-01 4
OB01G10530.1 Os01t0108000-01 2
OB01G10720.1 Os01t0110400-01 2
OB01G11030.1 Os01t0113650-00 2
OB01G11050.1 Os01t0115600-01 5
OB01G11140.1 Os01t0117600-01 5
OB01G11180.1 Os01t0117900-02 2
OB01G11220.1 Os01t0118300-02 2
OB01G11250.1 Os01t0118600-00 2
OB01G11310.1 Os01t0182100-01 2
OB01G11590.1 Os01t0126200-01 3
OB01G11600.1 Os01t0633200-01 2
OB01G11730.1 Os01t0127900-01 2
OB01G11770.1 Os01t0128200-01 2
OB01G11850.1 Os01t0130000-01 2
OB01G12170.1 Os01t0134900-01 3
OB01G12210.1 Os01t0135900-02 6
OB01G12250.1 Os01t0889900-01 4
OB01G12290.1 Os01t0138300-02 2
OB01G12400.1 Os01t0137500-01 3
OB01G12590.1 Os12t0150100-01 3
OB01G12780.1 Os01t0143100-01 2
OB01G12830.1 Os01t0143400-00 3
OB01G13040.1 Os01t0145000-00 2
OB01G13180.1 Os04t0271200-01 2
OB01G13200.1 Os01t0151100-01 3
OB01G13310.1 Os01t0152000-01 3
OB01G13380.1 Os01t0153500-00 2
OB01G13500.1 Os05t0162200-02 2
OB01G13740.1 Os01t0158400-01 2
OB01G13790.1 Os01t0159400-01 2
OB01G13810.1 Os01t0160100-01 2
OB01G13990.1 Os01t0166100-01 2
OB01G14130.1 Os01t0168100-01 2
OB01G14160.1 Os01t0168500-01 2
OB01G14350.1 Os01t0170600-02 4
OB01G14530.1 Os12t0191500-01 2
OB01G14610.1 Os01t0174100-01 2
OB01G14660.1 Os01t0530400-01 2
OB01G14710.1 Os01t0175500-01 2
OB01G14720.1 Os01t0175700-01 3
OB01G14900.1 Os01t0178200-00 2
OB01G14930.1 Os01t0178500-02 3
OB01G15080.1 Os01t0180300-01 2
OB01G15130.1 Os01t0180800-01 2
OB01G15140.1 Os01t0180900-01 2
OB01G15200.1 Os01t0182400-01 2
OB01G15260.1 Os01t0183000-01 3
OB01G15350.1 Os01t0183633-01 2
OB01G15440.1 Os01t0184900-01 2
OB01G15450.1 Os05t0182700-01 2
OB01G15460.1 Os01t0185200-03 2
OB01G15480.1 Os01t0185300-01 2
OB01G15590.1 Os01t0186900-02 3
OB01G15610.1 Os01t0187400-01 3
OB01G15760.1 Os01t0191200-01 5
OB01G15800.1 Os01t0191500-01 3
OB01G15810.1 Os01t0191700-01 5
OB01G15870.1 Os01t0192300-01 2
OB01G16110.1 Os04t0438101-00 2
OB01G16150.1 Os01t0196500-01 2
OB01G16190.1 Os01t0197100-01 2
OB01G16310.1 Os01t0198000-01 2
OB01G16320.1 Os01t0198200-01 6
OB01G16450.1 Os01t0200700-01 2
OB01G16550.1 Os01t0201700-02 2
OB01G16590.1 Os01t0202700-00 17
OB01G16610.1 Os01t0203000-01 2
OB01G16750.1 Os05t0207350-00 2
OB01G16770.1 Os01t0205900-01 22
OB01G16840.1 Os01t0208400-01 3
OB01G16870.1 Os05t0106200-01 2
